"data_sheet","collection_date","site","habitat","experiment_date","collection_temp","exp_start","exp_end","ramp_start","water_bath","thermometer","exp_notes","tube","ctmax","order","genus","species","author","year","instar","sex","eggs","body_length_um","id_notes","low_lat","low_lat_elevation","high_lat","high_lat_elevation","lat_range","elev_range","mean_gs"
10,"2025-07-23","Insko","metalimnion","2025-07-23",10,"20:17",NA,12,3,6,"Calanoid",12,34.1,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","absent",1170.02,"",NA,NA,NA,NA,NA,NA,4.4749244646
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Eudiaptomus",1,35.1,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","absent",1288.1,"",NA,NA,NA,NA,NA,NA,3.54719687718
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Eudiaptomus",2,37.8,"Calanoid","Eudiaptomus","gracilis","(Sars G.O.)",1863,"CVI","female","present",1233.9,"",NA,NA,NA,NA,NA,NA,4.4749244646
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Eudiaptomus",4,38.7,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","absent",1286.6,"",NA,NA,NA,NA,NA,NA,3.54719687718
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Thermocyclops",5,37.8,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","absent",665,"",33.1,2080,67,NA,33.9,NA,NA
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Thermocyclops",6,38.7,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","present",710,"",33.1,2080,67,NA,33.9,NA,NA
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Eudiaptomus",7,37.9,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","present",1259,"",NA,NA,NA,NA,NA,NA,3.54719687718
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Thermocyclops",8,38.7,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","absent",650,"",33.1,2080,67,NA,33.9,NA,NA
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Thermocyclops",9,37.3,"Cyclopoid","Thermocyclops","oithonoides","(Sars G.O.)",1863,"CVI","female","present",655,"",33.1,2080,67,NA,33.9,NA,NA
12,"2025-07-25","Glebokie","surface","2025-07-25",23.09,"14:41",NA,23.8,2,2,"Eudiaptomus",10,38.2,"Calanoid","Eudiaptomus","graciloides","(Lilljeborg)",1888,"CVI","female","present",1361.5,"",NA,NA,NA,NA,NA,NA,3.54719687718
