data_sheet,collection_date,site,habitat,experiment_date,collection_temp,exp_start,exp_end,ramp_start,water_bath,thermometer,notes,order,genus,tube,ctmax
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Mesocyclops,Cyclopoid,Mesocyclops,1,36.9
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Diaptomid,Calanoid,Eudiaptomus,2,35.2
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Mesocyclops,Cyclopoid,Mesocyclops,3,37.6
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Thermometer,NA,NA,4,NA
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Diaptomid,Calanoid,Eudiaptomus,5,35.3
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Mesocyclops,Cyclopoid,Mesocyclops,6,36.7
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Thermocyclops (not oithonoides),Cyclopoid,Thermocyclops,7,35.1
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Thermocyclops (not oithonoides),Cyclopoid,Thermocyclops,8,34.1
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Diaptomid,Calanoid,Eudiaptomus,9,36.3
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Thermocyclops (not oithonoides),Cyclopoid,Thermocyclops,10,34.4
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Mesocyclops,Cyclopoid,Mesocyclops,11,36.7
14,2025-07-25,Glebokie,surface,2025-07-25,23.09,16:05,NA,24,3,6,Diaptomid,Calanoid,Eudiaptomus,12,37.1
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Cyclopoid,Cyclopoid,Mesocyclops,1,37.2
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,2,35.4
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,3,36.5
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Cyclopoid,Cyclopoid,Mesocyclops,4,36.3
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,5,35.9
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Thermometer,NA,NA,6,NA
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,7,35.2
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Cyclopoid,Cyclopoid,Mesocyclops,8,36.9
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,9,36.7
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Cyclopoid,Cyclopoid,Mesocyclops,10,37.4
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Diaptomid,Calanoid,Eudiaptomus,11,35.1
16,2025-07-25,Glebokie,surface,2025-07-25,23.09,18:30,NA,23.1,3,6,Cyclopoid,Cyclopoid,Mesocyclops,12,38.3
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Macrocyclops albidus,Cyclopoid,Macrocyclops,1,37
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Eucyclops,Cyclopoid,Eucyclops,2,36.8
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Eucyclops,Cyclopoid,Eucyclops,3,36.9
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Eucyclops,Cyclopoid,Eucyclops,4,38.2
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Diaptomid,Calanoid,Eudiaptomus,5,36.5
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Diaptomid,Calanoid,Eudiaptomus,6,37.3
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Diaptomid,Calanoid,Eudiaptomus,7,34.1
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Thermocyclops,Cyclopoid,Thermocyclops,8,39.2
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Thermocyclops,Cyclopoid,Thermocyclops,9,39.3
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Macrocyclops albidus,Cyclopoid,Macrocyclops,10,36.7
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Thermometer,NA,NA,11,NA
15,2025-07-25,Glebokie,littoral,2025-07-25,23.09,17:51,NA,23.9,4,3,Mesocyclops,Cyclopoid,Mesocyclops,12,36.6
17,2025-07-25,Glebokie,littoral,2025-07-25,23.09,19:19,NA,23.2,2,2,Eucyclops,Cyclopoid,Eucyclops,1,38.4
17,2025-07-25,Glebokie,littoral,2025-07-25,23.09,19:19,NA,23.2,2,2,Eucyclops,Cyclopoid,Eucyclops,2,39.1
17,2025-07-25,Glebokie,littoral,2025-07-25,23.09,19:19,NA,23.2,2,2,Eucyclops,Cyclopoid,Eucyclops,3,37.4
17,2025-07-25,Glebokie,littoral,2025-07-25,23.09,19:19,NA,23.2,2,2,Diaptomid,Calanoid,Eudiaptomus,4,37.4
