"code,""order""";Genus;Species;Author;Year;Instar;Sex;Eggs;Body length (um);Notes;;
"1504,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1325;;;
"1505,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1348,4;;;
"1506,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1359,5;;;
"1507,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1189,64;;;
"1508,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;955;;;
"1509,""Cyclopoid""";Thermocyclops;crassus;(Fischer);1853;CVI;female;P;920;;;
"1510,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1700;;;
"1512,""Cyclopoid""";Mesocyclops;leuckarti;(Claus);1857;CVI;female;P;935;Few eggs;;
"1701,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1290;;;
"1702,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1250;One egg sac;;
"1703,""Cyclopoid""";Eucyclops;speratus;(Lilljeborg);1901;CVI;female;P;1330;;;
"1704,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1303,8;;;
"1705,""Cyclopoid""";Megacyclops;viridis;(Jurine);1820;CVI;female;P;1835;One egg sac;;
"1706,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;P;1260,3;;;
"1707,""Calanoid""";Eudiaptomus; graciloides;(Lilljeborg);1888;CVI;female;P;1240;;;
"1709,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1630;;;
"1710,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1765;;;
"1711,""Cyclopoid""";Macrocyclops;albidus;(Jurine);1820;CVI;female;P;1790;;;
"1802,""Calanoid""";Eudiaptomus; gracilis;(Sars G.O.);1863;CVI;female;;1277;;;
"1803,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1300;with spermatophores;;
"1804,""Cyclopoid""";Acanthocyclops;trajani;Mirabdullayev & Defaye;2002;CVI;female;;1455;;;
